text,audit_type,source
needs review contractor import replaced values,DATA_INTEGRITY,hard_synthetic_v2
file shared to sub@con.et by Marta T.,DATA_INTEGRITY,hard_synthetic_v2
bulk delete of 118 rows by yonas g.,USER_ACTIVITY,hard_synthetic_v2
mass status edit (53 tasks) by Hanna A.,USER_ACTIVITY,hard_synthetic_v2
T11059: needs review,SECURITY,hard_synthetic_v2
T21438: anomaly noted,PROJECT_RESOURCE,hard_synthetic_v2
external share of project file (Helen),REPORT_DOCUMENT,hard_synthetic_v2
certificate pdf swapped by rahel g.,DATA_INTEGRITY,hard_synthetic_v2
late submission of daily report (Abebe K.),COMPLIANCE,hard_synthetic_v2
qty take-off altered - no co (marta t.),DATA_INTEGRITY,hard_synthetic_v2
T40541: as discussed - PPE violation noted for crew of Helen,COMPLIANCE,hard_synthetic_v2
multiple failed logins on Helen account,SECURITY,hard_synthetic_v2
structure slipped 8 days (Samuel) - ezih,PROJECT_RESOURCE,hard_synthetic_v2
bereket d. changed ip during session,SECURITY,hard_synthetic_v2
site report late by 12 days (Henok T.),COMPLIANCE,hard_synthetic_v2
T20862: bulk reassign 148 tasks - no comment (Meron T.),USER_ACTIVITY,hard_synthetic_v2
T33358: rebar over-ordered 28% block C,PROJECT_RESOURCE,hard_synthetic_v2
2025-02-08 password reset requested then cancelled (rahel g.),SECURITY,hard_synthetic_v2
password reset requested then cancelled (Getachew),SECURITY,hard_synthetic_v2
method statement still draft but signed (Sara B.),COMPLIANCE,hard_synthetic_v2
from meeting - toolbox talk sheet missing (lidya w.),COMPLIANCE,hard_synthetic_v2
file shared to client@own.org by dawit h.,REPORT_DOCUMENT,hard_synthetic_v2
T94013: bulk delete of 144 rows by dawit h.,USER_ACTIVITY,hard_synthetic_v2
geo anomaly: helen appeared in two cities same day,SECURITY,hard_synthetic_v2
Tigist changed IP during session,SECURITY,hard_synthetic_v2
2025-12-21 unapproved edit to record by biruk m. (check),DATA_INTEGRITY,hard_synthetic_v2
2026-04-26 T74705: urgent - mass status edit (53 tasks) by Abebe K.,USER_ACTIVITY,hard_synthetic_v2
user list exproted by Getachew after hours,FINANCIAL,hard_synthetic_v2
T83430: checklist incomplete for pour #40 | for your action,COMPLIANCE,hard_synthetic_v2
bulk reassign 89 tasks - no comment (henok t.),USER_ACTIVITY,hard_synthetic_v2
approved ms edited after acceptance (samuel),REPORT_DOCUMENT,hard_synthetic_v2
test results changed without approval (biruk m.),DATA_INTEGRITY,hard_synthetic_v2
as-built rev changed after client sign-off (yonas g.),DATA_INTEGRITY,hard_synthetic_v2
T80102: budget increased 25% on BD Hospital by Solomon A.,FINANCIAL,hard_synthetic_v2
QA plan changed post-aproval (Rahel G.),REPORT_DOCUMENT,hard_synthetic_v2
Mesfin opened finance module (not their role),USER_ACTIVITY,hard_synthetic_v2
user list exported by Hanna A. after hours,USER_ACTIVITY,hard_synthetic_v2
2026-05-19 T17501: password reset requested then cancelled (rahel g.),SECURITY,hard_synthetic_v2
odd behaviour Helen changed IP during,SECURITY,hard_synthetic_v2
permit submitted after work started (Rahel G.),COMPLIANCE,hard_synthetic_v2
noted on site - CSV import overwrote approved qty (Rahel G.),DATA_INTEGRITY,hard_synthetic_v2
T40279: bulk delete of 153 rows by Samuel,USER_ACTIVITY,hard_synthetic_v2
"noted on site - expense claim ETB 727,000 from Bereket D.",FINANCIAL,hard_synthetic_v2
engineer Rahel G. tried to approve payment,USER_ACTIVITY,hard_synthetic_v2
ppe violation noted for crew of sara b.,COMPLIANCE,hard_synthetic_v2
test results changed without aproval (Yonas G.),DATA_INTEGRITY,hard_synthetic_v2
"anomaly noted cash advance ETB 127,000",FINANCIAL,hard_synthetic_v2
2025-05-14 from the meeting - Meron T. opened finance module (not their role),USER_ACTIVITY,hard_synthetic_v2
old spec rev deleted (Samuel),REPORT_DOCUMENT,hard_synthetic_v2
access concern env spill report delayed,COMPLIANCE,hard_synthetic_v2
2025-01-13 contractor review score 64/100 by Lidya W.,PROJECT_RESOURCE,hard_synthetic_v2
certificate pdf swapped by henok t.,DATA_INTEGRITY,hard_synthetic_v2
report problem dormant account helen active,USER_ACTIVITY,hard_synthetic_v2
large payment released without second sign-off (sara b.),FINANCIAL,hard_synthetic_v2
generator hours high vs plan (Samuel),PROJECT_RESOURCE,hard_synthetic_v2
file shared to client@own.org by Marta T.,REPORT_DOCUMENT,hard_synthetic_v2
Selam F. modified contingency on DD Warehouse,FINANCIAL,hard_synthetic_v2
2026-02-27 T47449: commercial rates shared outside (Dawit H.),REPORT_DOCUMENT,hard_synthetic_v2
2025-06-06 for your action - bugdet line edit on BD Hospital (Mesfin),FINANCIAL,hard_synthetic_v2
site report late by 6 days (Lidya W.),COMPLIANCE,hard_synthetic_v2
invoice #5528 deleted after payment (marta t.),FINANCIAL,hard_synthetic_v2
cement overuse 24% on Adama IP (Henok T.),PROJECT_RESOURCE,hard_synthetic_v2
T26916: invoice #1910 created by Helen,SECURITY,hard_synthetic_v2
contractor import replaced values (Yonas G.),DATA_INTEGRITY,hard_synthetic_v2
see attachment - commercial rates shared outside (sara b.),REPORT_DOCUMENT,hard_synthetic_v2
please investigate,COMPLIANCE,hard_synthetic_v2
see attachment - full cost DB exported by Biruk M.,REPORT_DOCUMENT,hard_synthetic_v2
urgent - commercial rates shared outside (helen),REPORT_DOCUMENT,hard_synthetic_v2
as-built rev changed after client sign-off (solomon a.),DATA_INTEGRITY,hard_synthetic_v2
2025-01-18 T36434: odd hour login by rahel g. at 18:00,SECURITY,hard_synthetic_v2
2026-05-26 geo anomaly: biruk m. appeared in two cities same day,SECURITY,hard_synthetic_v2
drawing pack uploaded by Helen,REPORT_DOCUMENT,hard_synthetic_v2
T87087: old spec rev deleted (Marta T.),REPORT_DOCUMENT,hard_synthetic_v2
attendance history row removed by Rahel G.,DATA_INTEGRITY,hard_synthetic_v2
report problem,DATA_INTEGRITY,hard_synthetic_v2
hold point skipped on foundation (selam f.),COMPLIANCE,hard_synthetic_v2
structure slipped 14 days (Getachew),PROJECT_RESOURCE,hard_synthetic_v2
T95571: password reset requested then cancelled (Marta T.),SECURITY,hard_synthetic_v2
please check - bulk delete of 120 rows by Kidus A.,USER_ACTIVITY,hard_synthetic_v2
odd hour login by meron t. at 23:00,SECURITY,hard_synthetic_v2
T93567: toolbox talk sheet missing (biruk m.),USER_ACTIVITY,hard_synthetic_v2
generator hours high vs plan (Yonas G.),PROJECT_RESOURCE,hard_synthetic_v2
excavator out 15 days - not returned (lidya w.),PROJECT_RESOURCE,hard_synthetic_v2
scaffold parts missing after demob (Meron T.) - site lay,PROJECT_RESOURCE,hard_synthetic_v2
paymant run for Horizon Mat by Abebe K.,FINANCIAL,hard_synthetic_v2
urgent - multiple failed logins on marta t. account,SECURITY,hard_synthetic_v2
session from unknown device (Bereket D.),SECURITY,hard_synthetic_v2
bulk delete of 56 rows by Bereket D.,USER_ACTIVITY,hard_synthetic_v2
check sara b. activity,REPORT_DOCUMENT,hard_synthetic_v2
site report late by 16 days (Meron T.),COMPLIANCE,hard_synthetic_v2
commercial rates shared outside (Mesfin),REPORT_DOCUMENT,hard_synthetic_v2
Meron T. changed IP during session,SECURITY,hard_synthetic_v2
marta t. login failed from 197.197.133.184,SECURITY,hard_synthetic_v2
old spec rev deleted (Kidus A.),FINANCIAL,hard_synthetic_v2
dormant account Yonas G. active after 3 months,USER_ACTIVITY,hard_synthetic_v2
equipment checkout overdue (Mesfin),DATA_INTEGRITY,hard_synthetic_v2
material overuse logged on Adama IP,PROJECT_RESOURCE,hard_synthetic_v2
NCR closed without QM signature (Marta T.),DATA_INTEGRITY,hard_synthetic_v2
Rahel G. opened finance module (not their role) - ezih,DATA_INTEGRITY,hard_synthetic_v2
T75174: budget increased 16% on Bole Tower by Henok T.,FINANCIAL,hard_synthetic_v2
T27585: report problem contract pdf mailed externally,REPORT_DOCUMENT,hard_synthetic_v2
qty take-off altered - no co (meron t.) | please check,DATA_INTEGRITY,hard_synthetic_v2
T73953: sensitive salary data viewed by Helen,USER_ACTIVITY,hard_synthetic_v2
2025-10-01 T15248: file shared to partner@ext.com by Marta T.,REPORT_DOCUMENT,hard_synthetic_v2
bulk reassign 168 tasks - no comment (yonas g.),COMPLIANCE,hard_synthetic_v2
T59165: generator hours high vs plan (helen) (check),PROJECT_RESOURCE,hard_synthetic_v2
2026-12-05 as-built zip downloaded by hanna a.,REPORT_DOCUMENT,hard_synthetic_v2
sensitive salary data viewed by Bereket D.,USER_ACTIVITY,hard_synthetic_v2
site report late by 4 days (marta t.),COMPLIANCE,hard_synthetic_v2
permission raised for selam f. without aproval - please confirm,SECURITY,hard_synthetic_v2
T85349: budget line edit on Bole Tower (Solomon A.) (check),FINANCIAL,hard_synthetic_v2
PPE violation noted for crew of Solomon A.,COMPLIANCE,hard_synthetic_v2
2026-05-28 failed authentication for Sara B.,SECURITY,hard_synthetic_v2
material overuse logged on DD Warehouse,PROJECT_RESOURCE,hard_synthetic_v2
"expense claim etb 21,000 from samuel",FINANCIAL,hard_synthetic_v2
unapproved edit to record by yonas g.,DATA_INTEGRITY,hard_synthetic_v2
external share of project file (helen),REPORT_DOCUMENT,hard_synthetic_v2
T50126: method statement still draft but signed (biruk m.),COMPLIANCE,hard_synthetic_v2
noted on site - permit submitted after work started (Bereket D.),COMPLIANCE,hard_synthetic_v2
T45816: 173 edits in under 5 min by solomon .,USER_ACTIVITY,hard_synthetic_v2
T52206: external data import by Selam F. - site lay,DATA_INTEGRITY,hard_synthetic_v2
sensitive salary data viewed by Yonas G.,USER_ACTIVITY,hard_synthetic_v2
test results changed without aproval (Henok T.),DATA_INTEGRITY,hard_synthetic_v2
drawing pack uploaded by Yonas G.,REPORT_DOCUMENT,hard_synthetic_v2
2025-01-09 repeated open of restricted folder by Yonas G.,USER_ACTIVITY,hard_synthetic_v2
needs review,FINANCIAL,hard_synthetic_v2
T30761: invoice #1809 deleted after paymant (Abebe K.),FINANCIAL,hard_synthetic_v2
progress report generated for Hawassa P2 (Kidus A.),REPORT_DOCUMENT,hard_synthetic_v2
duplicate supplier invioce #2190,DATA_INTEGRITY,hard_synthetic_v2
invoice #2819 deleted after payment (Marta T.),FINANCIAL,hard_synthetic_v2
generator hours high vs plan (Dawit H.),PROJECT_RESOURCE,hard_synthetic_v2
T47608: urgent - checklist incomplete for pour #16,COMPLIANCE,hard_synthetic_v2
2025-10-28 unauthorized access attempt by Lidya W.,SECURITY,hard_synthetic_v2
hold point skipped on foundation (Lidya W.),COMPLIANCE,hard_synthetic_v2
2025-09-06 cement overuse 37% on hawassa p2 (marta t.),PROJECT_RESOURCE,hard_synthetic_v2
rebar over-ordered 5% block D,PROJECT_RESOURCE,hard_synthetic_v2
"2026-03-11 paymant of ETB 440,000 approved by Helen",FINANCIAL,hard_synthetic_v2
T29333: cost code changed on po by hanna a. - please confirm,FINANCIAL,hard_synthetic_v2
T17563: data issue budget line edit on,FINANCIAL,hard_synthetic_v2
env spill report delayed (marta t.),COMPLIANCE,hard_synthetic_v2
rebar over-ordered 42% block C | please check,PROJECT_RESOURCE,hard_synthetic_v2
T12286: duplicate invoice #5862 entered,FINANCIAL,hard_synthetic_v2
checklist incomplete for pour #42,COMPLIANCE,hard_synthetic_v2
2026-03-01 T90400: for your action - document export by Dawit H.,REPORT_DOCUMENT,hard_synthetic_v2
milestone 'topped out' delayed (Henok T.),PROJECT_RESOURCE,hard_synthetic_v2
unapproved edit to record by Henok T.,DATA_INTEGRITY,hard_synthetic_v2
contractor import replaced values (Yonas G.),DATA_INTEGRITY,hard_synthetic_v2
T94429: generator hours high vs plan (sara b.),PROJECT_RESOURCE,hard_synthetic_v2
T29509: certificate PDF swapped by Sara B.,DATA_INTEGRITY,hard_synthetic_v2
large payment released without second sign-off (Selam F.),FINANCIAL,hard_synthetic_v2
2026-08-16 test results changed without approval (lidya w.) - ezih,DATA_INTEGRITY,hard_synthetic_v2
cost code changed on PO by Samuel,FINANCIAL,hard_synthetic_v2
need follow up - as-built zip downloaded by bereket d.,REPORT_DOCUMENT,hard_synthetic_v2
sensitive salary data viewed by yonas g.,USER_ACTIVITY,hard_synthetic_v2
repeated open of restricted folder by lidya w.,USER_ACTIVITY,hard_synthetic_v2
site report late by 3 days (yonas g.),COMPLIANCE,hard_synthetic_v2
T53128: Lidya W. tried admin console - denied,SECURITY,hard_synthetic_v2
T89818: cement overuse 44% on Adama IP (Bereket D.),PROJECT_RESOURCE,hard_synthetic_v2
approved MS edited after acceptance (Helen),REPORT_DOCUMENT,hard_synthetic_v2
material overuse logged on bole tower,PROJECT_RESOURCE,hard_synthetic_v2
T74220: as discussed - contractor import replaced values (Getachew) - ezih,DATA_INTEGRITY,hard_synthetic_v2
measurement sheet deleted (kidus a.),REPORT_DOCUMENT,hard_synthetic_v2
full cost DB exported by Tigist,REPORT_DOCUMENT,hard_synthetic_v2
site report late by 12 days (Marta T.),COMPLIANCE,hard_synthetic_v2
T38715: repeated open of restricted folder by mesfin,USER_ACTIVITY,hard_synthetic_v2
2025-03-13 old spec rev deleeted (dawit h.) - please confirm,REPORT_DOCUMENT,hard_synthetic_v2
checklist incomplete for pour #1,COMPLIANCE,hard_synthetic_v2
report problem,COMPLIANCE,hard_synthetic_v2
odd hour login by Mesfin at 15:00,SECURITY,hard_synthetic_v2
generator hours high vs plan (Biruk M.),PROJECT_RESOURCE,hard_synthetic_v2
for your action - test results changed without approval (kidus a.),DATA_INTEGRITY,hard_synthetic_v2
payment run for horizon mat by lidya w.,FINANCIAL,hard_synthetic_v2
progress report generated for ALR Ext (Samuel),REPORT_DOCUMENT,hard_synthetic_v2
selam f. changed ip during session,SECURITY,hard_synthetic_v2
problem on Adama IP permission raised for Rahel,SECURITY,hard_synthetic_v2
late submission of daily report (Biruk M.) (check),COMPLIANCE,hard_synthetic_v2
noted on site - equipment checkout overdue (Samuel),PROJECT_RESOURCE,hard_synthetic_v2
session from unknown device (marta t.),SECURITY,hard_synthetic_v2
T38670: NCR closed without QM signature (Abebe K.) | please check,COMPLIANCE,hard_synthetic_v2
T19609: drawing pack uploaded by Marta T.,REPORT_DOCUMENT,hard_synthetic_v2
2025-04-15 T29517: contractor import replaced values (hanna a.),DATA_INTEGRITY,hard_synthetic_v2
invoice #5884 deleted after payment (meron t.),FINANCIAL,hard_synthetic_v2
"cash advance etb 344,000 logged by getachew",FINANCIAL,hard_synthetic_v2
2026-06-03 duplicate supplier invioce #5165 | please check,DATA_INTEGRITY,hard_synthetic_v2
method statement still draft but signed (Rahel G.),COMPLIANCE,hard_synthetic_v2
subcon Ethio Steel NCR list updated by Bereket D.,DATA_INTEGRITY,hard_synthetic_v2
T17481: Marta T. modified contingency on DD Warehouse - please confirm,FINANCIAL,hard_synthetic_v2
2026-01-01 invoice #7504 created by rahel g. (check),FINANCIAL,hard_synthetic_v2
T47997: duplicate invoice #9210 entered,FINANCIAL,hard_synthetic_v2
approved ms edited after acceptance (hanna a.),REPORT_DOCUMENT,hard_synthetic_v2
document export by Solomon A. - site lay,REPORT_DOCUMENT,hard_synthetic_v2
T65545: sensitive salary data viewed by Abebe K. | for your action,USER_ACTIVITY,hard_synthetic_v2
excavator out 3 days - not returned (Marta T.),PROJECT_RESOURCE,hard_synthetic_v2
large paymant released without second sign-off (marta t.),FINANCIAL,hard_synthetic_v2
as-built rev changed after client sign-off (helen),DATA_INTEGRITY,hard_synthetic_v2
invioce #5799 created by Selam F.,FINANCIAL,hard_synthetic_v2
sensitive salary data viewed by Abebe K.,USER_ACTIVITY,hard_synthetic_v2
2026-01-11 user list exported by marta t. after hours - ezih,USER_ACTIVITY,hard_synthetic_v2
abebe k. tried admin console - denied,SECURITY,hard_synthetic_v2
duplicate invoice #6954 entered,FINANCIAL,hard_synthetic_v2
NCR closed without QM signature (Marta T.),COMPLIANCE,hard_synthetic_v2
T72964: engineer Meron T. tried to approve payment | need follow up,USER_ACTIVITY,hard_synthetic_v2
engineer henok t. tried to approve payment,USER_ACTIVITY,hard_synthetic_v2
2026-01-26 contractor review score 85/100 by dawit h.,SECURITY,hard_synthetic_v2
2026-09-20 T15394: duplicate invioce #9989 entered,FINANCIAL,hard_synthetic_v2
drawing pack uploaded by Hanna A.,REPORT_DOCUMENT,hard_synthetic_v2
per site instruction - PPE violation noted for crew of Henok T.,COMPLIANCE,hard_synthetic_v2
2026-09-19 as-built zip downloaded by mesfin,REPORT_DOCUMENT,hard_synthetic_v2
per site instruction - dormant account Selam F. active after 7 months,USER_ACTIVITY,hard_synthetic_v2
2025-04-23 issue with rahel g. repeated open of restricted,USER_ACTIVITY,hard_synthetic_v2
report problem attendance history row removed,DATA_INTEGRITY,hard_synthetic_v2
attendance history row removed by henok t. - ezih,DATA_INTEGRITY,hard_synthetic_v2
delivery note DN-892 edited after lock by Dawit H.,DATA_INTEGRITY,hard_synthetic_v2
contractor review score 63/100 by Helen,PROJECT_RESOURCE,hard_synthetic_v2
milestone 'foundation' delayed (Getachew),DATA_INTEGRITY,hard_synthetic_v2
2025-01-26 dormant account Solomon A. active after 5 months,USER_ACTIVITY,hard_synthetic_v2
CSV import overwrote approved qty (Meron T.),DATA_INTEGRITY,hard_synthetic_v2
unusual activity volume by Lidya W.,USER_ACTIVITY,hard_synthetic_v2
duplicate invoice #9131 entered,FINANCIAL,hard_synthetic_v2
method statement still draft but signed (Biruk M.),COMPLIANCE,hard_synthetic_v2
T50938: policy breach recorded for Marta T. | per site instruction,COMPLIANCE,hard_synthetic_v2
drawing pack uploaded by Hanna .,REPORT_DOCUMENT,hard_synthetic_v2
excavator out 13 days - not returned (Lidya W.),PROJECT_RESOURCE,hard_synthetic_v2
mass status edit (79 tasks) by mesfin,USER_ACTIVITY,hard_synthetic_v2
method statement still draft but signed (marta t.),COMPLIANCE,hard_synthetic_v2
role misuse flagged for bereket d. | as discussed,USER_ACTIVITY,hard_synthetic_v2
2025-05-28 T13536: as-built zip downloaded by getachew,REPORT_DOCUMENT,hard_synthetic_v2
material overuse logged on site 3,PROJECT_RESOURCE,hard_synthetic_v2
toolbox talk sheet missing (mesfin),COMPLIANCE,hard_synthetic_v2
budget increased 37% on BD Hospital by Bereket D.,FINANCIAL,hard_synthetic_v2
invoice #8999 created by Dawit H.,FINANCIAL,hard_synthetic_v2
invioce #9573 created by helen,FINANCIAL,hard_synthetic_v2
issue with kidus a. duplicate invoice #3566 entered,FINANCIAL,hard_synthetic_v2
approval bypassed on WO-394 by Abebe K.,COMPLIANCE,hard_synthetic_v2
PPE violation noted for crew of Helen,COMPLIANCE,hard_synthetic_v2
2025-05-23 session from unknown device (rahel g.),SECURITY,hard_synthetic_v2
approval bypassed on WO-382 by Biruk M.,COMPLIANCE,hard_synthetic_v2
T78720: suspicious login pattern detected (Yonas G.),COMPLIANCE,hard_synthetic_v2
needs review Henok T. opened finance,USER_ACTIVITY,hard_synthetic_v2
T43504: test results changed without approval (Henok T.),DATA_INTEGRITY,hard_synthetic_v2
sensitive salary data viewed by Selam F. | noted on site (check),USER_ACTIVITY,hard_synthetic_v2
T53053: Solomon A. tried admin console - denied,SECURITY,hard_synthetic_v2
2025-01-20 unapproved edit to record by Rahel G. | temporary entry,DATA_INTEGRITY,hard_synthetic_v2
milestone 'MEP 1st fix' delayed (Mesfin),PROJECT_RESOURCE,hard_synthetic_v2
please investigate cement overuse 10% on,PROJECT_RESOURCE,hard_synthetic_v2
qa plan changed post-approval (hanna a.),REPORT_DOCUMENT,hard_synthetic_v2
invioce #7051 deleted after paymant (sara b.) | awaiting confirmation,FINANCIAL,hard_synthetic_v2
contractor review score 39/100 by Biruk M.,PROJECT_RESOURCE,hard_synthetic_v2
T75751: bulk reassign 36 tasks - no comment (Rahel G.),USER_ACTIVITY,hard_synthetic_v2
milestone 'facade' delayed (Marta T.),PROJECT_RESOURCE,hard_synthetic_v2
env spill report delayed (Samuel),COMPLIANCE,hard_synthetic_v2
contractor import replaced values (lidya w.),DATA_INTEGRITY,hard_synthetic_v2
T91261: scaffold parts missing after demob (Meron T.),PROJECT_RESOURCE,hard_synthetic_v2
contract pdf mailed externally (meron t.) - please confirm,REPORT_DOCUMENT,hard_synthetic_v2
T48027: paymant run for Abyssinia Hire by Helen,FINANCIAL,hard_synthetic_v2
45 edits in under 5 min by Biruk M.,USER_ACTIVITY,hard_synthetic_v2
tigist login failed from 197.122.101.163,SECURITY,hard_synthetic_v2
flagged item,PROJECT_RESOURCE,hard_synthetic_v2
needs review,USER_ACTIVITY,hard_synthetic_v2
engineer Meron T. tried to approve payment | as discussed,USER_ACTIVITY,hard_synthetic_v2
please investigate,USER_ACTIVITY,hard_synthetic_v2
checklist incomplete for pour #37,COMPLIANCE,hard_synthetic_v2
T27904: access concern - site lay,DATA_INTEGRITY,hard_synthetic_v2
2025-01-19 data issue Henok T. opened finance,USER_ACTIVITY,hard_synthetic_v2
bulk delete of 183 rows by Bereket D.,USER_ACTIVITY,hard_synthetic_v2
dawit h. tried admin console - denied,SECURITY,hard_synthetic_v2
scaffold parts missing after demob (Getachew),PROJECT_RESOURCE,hard_synthetic_v2
T77669: scaffold parts missing after demob (Helen),PROJECT_RESOURCE,hard_synthetic_v2
large paymant released without second sign-off (Mesfin),SECURITY,hard_synthetic_v2
budget line edit on DD Warehouse (Biruk M.),FINANCIAL,hard_synthetic_v2
cost code changed on PO by Getachew | see attachment,FINANCIAL,hard_synthetic_v2
199 edits in under 5 min by Bereket D. | urgent,USER_ACTIVITY,hard_synthetic_v2
data issue,USER_ACTIVITY,hard_synthetic_v2
cement overuse 13% on ALR Ext (Yonas G.),PROJECT_RESOURCE,hard_synthetic_v2
T59894: scaffold parts missing after demob (Lidya W.),PROJECT_RESOURCE,hard_synthetic_v2
test results changed without aproval (hanna a.),FINANCIAL,hard_synthetic_v2
T89092: faild authentication for selam f.,SECURITY,hard_synthetic_v2
2026-02-17 cost code changed on po by kidus a.,FINANCIAL,hard_synthetic_v2
T61669: issue with Biruk M. invoice #2989 created by,FINANCIAL,hard_synthetic_v2
unapproved edit to record by Biruk M.,DATA_INTEGRITY,hard_synthetic_v2
"cash advance ETB 300,000 logged by Marta T.",FINANCIAL,hard_synthetic_v2
full cost DB exported by Hanna A.,REPORT_DOCUMENT,hard_synthetic_v2
budget increased 15% on Site 3 by Helen,FINANCIAL,hard_synthetic_v2
measurement sheet deleted (Getachew),DATA_INTEGRITY,hard_synthetic_v2
T89115: milestone 'facade' delayed (Solomon A.),PROJECT_RESOURCE,hard_synthetic_v2
hold point skipped on foundation (Biruk M.),COMPLIANCE,hard_synthetic_v2
T25584: data issue user list exported by,USER_ACTIVITY,hard_synthetic_v2
payment run for Nile Const by Solomon A. (check),FINANCIAL,hard_synthetic_v2
T46560: old spec rev deleted (Kidus A.) - ezih,REPORT_DOCUMENT,hard_synthetic_v2
scaffold parts missing after demob (kidus a.) | for your action,PROJECT_RESOURCE,hard_synthetic_v2
unusual activity volume by Lidya W.,USER_ACTIVITY,hard_synthetic_v2
approval bypassed on WO-445 by Abebe K.,COMPLIANCE,hard_synthetic_v2
T84870: duplicate supplier invoice #5830,DATA_INTEGRITY,hard_synthetic_v2
needs review Solomon . changed IP,SECURITY,hard_synthetic_v2
bulk reassign 209 tasks - no comment (Sara B.),USER_ACTIVITY,hard_synthetic_v2
approval bypassed on wo-542 by rahel g.,COMPLIANCE,hard_synthetic_v2
doc export by abebe k.,REPORT_DOCUMENT,hard_synthetic_v2
"payment of ETB 292,000 approved by Kidus A.",FINANCIAL,hard_synthetic_v2
T80861: invoice #7246 deleeted after payment (solomon a.) | see attachment,FINANCIAL,hard_synthetic_v2
qty take-off altered - no CO (Kidus A.),DATA_INTEGRITY,hard_synthetic_v2
2026-07-23 geo anomaly: Henok T. appeared in two cities same day,SECURITY,hard_synthetic_v2
as-built ZIP downloaded by Samuel,REPORT_DOCUMENT,hard_synthetic_v2
PPE violation noted for crew of Biruk M.,COMPLIANCE,hard_synthetic_v2
"cash advance etb 833,000 logged by kidus a.",FINANCIAL,hard_synthetic_v2
"cash advance ETB 845,000 logged by Hanna A.",FINANCIAL,hard_synthetic_v2
structure slipped 16 days (Henok T.),PROJECT_RESOURCE,hard_synthetic_v2
2026-03-07 user list exproted by Meron T. after hours,USER_ACTIVITY,hard_synthetic_v2
geo anomaly: Lidya W. appeared in two cities same day,SECURITY,hard_synthetic_v2
T35599: awaiting confirmation - subcon Horizon Mat NCR list updated by Henok T.,PROJECT_RESOURCE,hard_synthetic_v2
T61372: multiple failed log-ins on Selam F. account | noted on site,SECURITY,hard_synthetic_v2
T57978: old spec rev deleted (biruk m.),REPORT_DOCUMENT,hard_synthetic_v2
Bereket D. login failed from 197.251.39.243,PROJECT_RESOURCE,hard_synthetic_v2
2026-06-22 equipment checkout overdue (Marta T.),PROJECT_RESOURCE,hard_synthetic_v2
check Biruk M. activity milestone 'MEP 1st fix',PROJECT_RESOURCE,hard_synthetic_v2
T67345: structure slipped 13 days (Samuel) - ezih,DATA_INTEGRITY,hard_synthetic_v2
env spill report delayed (kidus a.),COMPLIANCE,hard_synthetic_v2
as discussed - NCR closed without QM signature (Henok T.),COMPLIANCE,hard_synthetic_v2
duplicate supplier invoice #6061,DATA_INTEGRITY,hard_synthetic_v2
T75118: CSV import overwrote approved qty (Sara B.),DATA_INTEGRITY,hard_synthetic_v2
check Bereket D. activity excavator out 10 days,PROJECT_RESOURCE,hard_synthetic_v2
budget line edit on Site 3 (Lidya W.),FINANCIAL,hard_synthetic_v2
from the meeting - duplicate supplier invioce #5429,DATA_INTEGRITY,hard_synthetic_v2
T81707: suspicious login pattern detected (rahel g.) - please confirm,SECURITY,hard_synthetic_v2
csv import overwrote approved qty (sara b.),DATA_INTEGRITY,hard_synthetic_v2
session from unknown device (Lidya W.),SECURITY,hard_synthetic_v2
attendance history row removed by henok t.,DATA_INTEGRITY,hard_synthetic_v2
bugdet increased 17% on Bole Tower by Sara B.,DATA_INTEGRITY,hard_synthetic_v2
issue with Selam F. PPE violation noted for,COMPLIANCE,hard_synthetic_v2
T88673: duplicate supplier invoice #8812,DATA_INTEGRITY,hard_synthetic_v2
2025-01-12 qty take-off altered - no CO (Dawit H.),PROJECT_RESOURCE,hard_synthetic_v2
invoice #6807 deleted after payment (Dawit H.),FINANCIAL,hard_synthetic_v2
T85374: large payment released without second sign-off (henok t.) | temporary entry,FINANCIAL,hard_synthetic_v2
geo anomaly: marta t. appeared in two cities same day,FINANCIAL,hard_synthetic_v2
T48305: milestone 'finishes' delayed (Marta T.) - ezih,PROJECT_RESOURCE,hard_synthetic_v2
approved MS edited after acceptance (Dawit H.),REPORT_DOCUMENT,hard_synthetic_v2
please investigate,USER_ACTIVITY,hard_synthetic_v2
107 edits in under 5 min by henok t.,USER_ACTIVITY,hard_synthetic_v2
T32289: material overuse logged on BD Hospital | awaiting confirmation,PROJECT_RESOURCE,hard_synthetic_v2
2025-09-22 suspicious login pattern detected (Rahel G.),SECURITY,hard_synthetic_v2
file shared to client@own.org by Lidya W.,REPORT_DOCUMENT,hard_synthetic_v2
Rahel G. modified contingency on Hawassa P2,FINANCIAL,hard_synthetic_v2
payment run for abyssinia hire by hanna a.,FINANCIAL,hard_synthetic_v2
2026-07-26 temporary entry - generator hours high vs plan (Dawit H.) - ezih,PROJECT_RESOURCE,hard_synthetic_v2
T75891: NCR closed without QM signature (Rahel G.),DATA_INTEGRITY,hard_synthetic_v2
fuel burn above baseline (Bereket D.) | noted on site,PROJECT_RESOURCE,hard_synthetic_v2
need follow up - unusual activity volume by Helen,USER_ACTIVITY,hard_synthetic_v2
role misuse flagged for Sara B.,USER_ACTIVITY,hard_synthetic_v2
old spec rev deleted (bereket d.),REPORT_DOCUMENT,hard_synthetic_v2
excavator out 9 days - not returned (Tigist),DATA_INTEGRITY,hard_synthetic_v2
